family,reach_km,reach_bbox_deg2,reach_hull
Sign Language,19943.95527988191,34534.163885,0
Unattested,19934.964487921734,14168.239538677002,0
Bookkeeping,19897.99679189824,28193.60198952,0
Austronesian,19879.473065372404,24717.481938700003,0
NA,19869.715910487514,29574.260351999998,0
Indo-European,19706.505909736512,32638.72787848,0
Unclassifiable,19524.22051592922,23862.00609083909,0
Pidgin,19323.399803696087,30632.795600111996,0
Mixed Language,16215.268093918283,13755.062611739999,0
Speech Register,15539.13990665937,20018.3742494064,0
Artificial Language,15352.204907218163,9592.839076664999,54972013.7434971
Atlantic-Congo,14401.677296571008,6888.943187362601,30324679.0324057
Afro-Asiatic,8332.294603788132,3897.0669350820003,33234470.6586998
Turkic,6968.116298186383,4693.446503320799,60544995.0993799
Eskimo-Aleut,6476.655078297443,5972.303462399998,60944196.9035881
Mongolic-Khitan,5672.320662238358,1306.40376963223,12334857.647516
Athabaskan-Eyak-Tlingit,5616.532423326018,2317.3922049870007,23227700.2918607
Arawakan,5240.752315261176,1432.6233315049997,11081897.0317228
Uralic,5084.11045023931,2127.905828977461,39904041.6267665
Tungusic,4842.252633395897,1872.2411748669997,28170149.204106
Algic,4809.03289532666,1317.8527362,16900245.4817278
Sino-Tibetan,4282.214574598022,1277.1063305520004,12352478.9955441
Uto-Aztecan,4133.535526518162,815.7279417000001,5098513.35925798
Tupian,3989.7839734346567,933.0711910771399,7975128.18154237
Pama-Nyungan,3964.7842110977167,1098.8543142239998,10352128.1085669
Cariban,3764.827299330424,749.4556248996001,5343950.1828123
Quechuan,3524.5141470824024,467.56774238200006,1497458.7658545
Austroasiatic,3454.4699910902814,704.7893567,5477954.86652398
Siouan,3424.7943464251534,735.2948105607,4009903.19749647
Nuclear-Macro-Je,2749.3064310618165,585.8980918374218,4548803.33448261
Dravidian,2551.095111272214,434.27955438399977,2612194.63998288
Japonic,2544.721689373508,313.5184630577999,1223902.46729914
Tai-Kadai,2510.770624831916,442.8102566680001,3263143.11265095
Mande,2211.6352629226876,181.86012757256873,1544532.89378805
Central Sudanic,2101.4827880664743,214.5829952662,1458947.49525925
Songhay,2078.771785326152,190.04097172500002,1314110.01836237
Khoe-Kwadi,1987.7092121865203,250.22144164500006,1780564.20979087
Nilotic,1973.6867884932124,183.57657499999996,1235535.42809789
Nuclear Trans New Guinea,1867.0961820278587,97.47134659999999,601540.861448271
Chukotko-Kamchatkan,1856.6484744611068,292.4990294320801,2873181.88470209
Otomanguean,1843.2636007639546,147.81625694000007,654914.304281543
Chibchan,1826.3552657710425,136.59303447360006,864537.533253555
Saharan,1637.6946078362246,110.4417,874671.232181085
Caddoan,1497.1235463288383,85.60500000000002,444639.38586495
Hmong-Mien,1429.620064090019,107.81215919999995,885043.802452449
Iroquoian,1419.6416912525783,105.17556679999994,733860.166639938
Nubian,1367.050927609192,78.97003320000002,452670.808684546
Chonan,1325.850002751768,53.97021083511603,314912.671032174
Tuu,1279.3845315123986,92.48752486399998,969006.947500297
Mayan,1237.3137278805793,69.58887470849993,392440.520327894
Pano-Tacanan,1221.3622987103795,104.59594134479993,776726.187761878
Dajuic,1204.7958925348544,39.09532799599999,248515.535085941
Chinookan,1137.4723956045605,34.8129502,191193.430095933
Ainu,1135.5068592838504,71.48031554853193,499274.189334338
Chapacuran,1096.9815861533598,31.7916749,205258.488979898
Guaicuruan,1089.2132870974137,40.6182084,199611.446648334
Kiowa-Tanoan,1045.7436337458078,26.348309036378957,211151.596684963
